2016-03-26:16-26-33|24.30:44.80::2723
2016-03-26:16-26-41|24.30:44.80::2475
2016-03-26:16-26-50|24.30:44.80::2179
2016-03-26:16-26-57|24.40:44.90::2102
2016-03-26:16-27-01|24.30:44.80::2101
2016-03-26:16-27-07|24.30:44.80::2168
2016-03-26:16-27-14|24.30:44.80::2248
2016-03-26:16-27-22|24.30:44.80::2095
2016-03-26:16-27-30|24.30:44.80::2101
2016-03-26:16-27-38|24.30:44.80::2060
2016-03-26:16-27-47|24.30:44.80::1968
2016-03-26:16-27-54|24.30:44.80::1835
2016-03-26:16-28-02|24.30:44.80::1744
2016-03-26:16-28-01|24.30:44.80::1744
2016-03-26:16-28-10|24.30:44.80::1654
2016-03-26:16-28-17|24.30:44.80::1492
2016-03-26:16-28-25|24.30:44.80::1400
2016-03-26:16-28-33|24.30:44.80::1346
2016-03-26:16-28-40|24.30:44.80::1302
2016-03-26:16-28-48|24.30:44.80::1275
2016-03-26:16-28-56|24.30:44.80::1259
2016-03-26:16-29-01|24.30:44.80::1261
2016-03-26:16-29-04|24.30:44.80::1267
2016-03-26:16-29-13|24.30:44.80::1269
2016-03-26:16-29-21|24.30:44.80::1264
2016-03-26:16-29-29|24.30:44.80::1261
2016-03-26:16-29-38|24.30:44.80::1273
2016-03-26:16-29-46|24.30:44.80::1308
2016-03-26:16-29-54|24.30:44.80::1360
2016-03-26:16-30-01|24.30:44.80::1386
2016-03-26:16-30-03|24.30:44.80::1394
2016-03-26:16-30-11|24.30:44.80::1405
2016-03-26:16-30-19|24.30:44.80::1379
2016-03-26:16-30-26|24.30:44.80::1318
2016-03-26:16-30-35|24.30:44.80::1300
2016-03-26:16-30-43|24.30:44.80::1302
2016-03-26:16-30-50|24.30:44.80::1321
2016-03-26:16-30-58|24.30:44.90::1346
2016-03-26:16-31-02|24.30:44.90::1351
2016-03-26:16-31-06|24.30:44.90::1348
2016-03-26:16-31-13|24.30:44.90::1339
2016-03-26:16-31-21|24.30:44.90::1365
2016-03-26:16-31-29|24.30:44.90::1390
2016-03-26:16-31-36|24.20:44.80::1418
2016-03-26:16-31-44|24.30:45.00::1450
2016-03-26:16-31-53|24.30:44.90::1492
2016-03-26:16-32-01|24.20:44.80::1574
2016-03-26:16-32-01|24.20:44.80::1574
2016-03-26:16-32-11|24.30:44.90::1647
2016-03-26:16-32-19|24.30:44.90::1671
2016-03-26:16-32-26|24.30:45.00::1647
2016-03-26:16-32-34|24.20:44.90::1541
2016-03-26:16-32-42|24.20:45.00::1477
2016-03-26:16-32-49|24.30:45.10::1495
2016-03-26:16-32-57|24.20:45.00::1464
2016-03-26:16-33-01|24.20:45.00::1424
2016-03-26:16-33-05|24.20:45.10::1414
2016-03-26:16-33-13|24.20:45.00::1427
2016-03-26:16-33-22|24.20:45.00::1462
2016-03-26:16-33-30|24.20:45.00::1448
2016-03-26:16-33-38|24.20:45.00::1377
2016-03-26:16-33-46|24.20:45.00::1273
2016-03-26:16-33-54|24.20:45.00::1189
2016-03-26:16-34-01|24.20:45.10::1142
2016-03-26:16-34-02|24.20:45.10::1142
2016-03-26:16-34-09|24.20:45.10::1070
2016-03-26:16-34-17|24.20:45.10::1006
2016-03-26:16-34-25|24.20:45.10::976
2016-03-26:16-34-32|24.20:45.10::965
2016-03-26:16-34-41|24.20:45.10::973
2016-03-26:16-34-51|24.20:45.10::1026
2016-03-26:16-35-01|24.20:45.10::1031
2016-03-26:16-35-02|24.20:45.10::1025
2016-03-26:16-35-11|24.20:45.10::1015
2016-03-26:16-35-19|24.20:45.10::998
2016-03-26:16-35-27|24.20:45.10::930
2016-03-26:16-35-34|24.20:45.10::929
2016-03-26:16-35-42|24.20:45.10::949
2016-03-26:16-35-50|24.20:45.10::939
2016-03-26:16-35-57|24.20:45.10::949
2016-03-26:16-36-01|24.20:45.20::937
2016-03-26:16-36-06|24.20:45.10::921
2016-03-26:16-36-15|24.20:45.10::923
2016-03-26:16-36-22|24.20:45.20::916
2016-03-26:16-36-31|24.20:45.20::901
2016-03-26:16-36-40|24.20:45.20::891
2016-03-26:16-36-48|24.20:45.20::887
2016-03-26:16-36-57|24.10:45.10::880
2016-03-26:16-37-01|24.10:45.10::875
2016-03-26:16-37-04|24.20:45.20::880
2016-03-26:16-37-12|24.10:45.10::868
2016-03-26:16-37-20|24.10:45.20::860
2016-03-26:16-37-29|24.20:45.20::856
2016-03-26:16-37-37|24.10:45.20::849
